Filter No.,Freq [kHz],A2_2kHz,A2_4kHz,A2_6kHz,A2_8kHz,B1_2kHz,B1_4kHz,B1_6kHz,B1_8kHz,A3_2kHz,A3_4kHz,A3_6kHz,A3_8kHz
194,411.6,DCF8,E4D3,D647,CE0A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
195,412.8,DDF6,E5E0,D736,CEE9,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
196,414,DEF0,E6EB,D823,CFC4,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
197,415.2,DFE6,E7F1,D90B,D09C,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
198,416.4,E0D9,E8F4,D9EF,D16F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
199,417.6,E1C7,E9F3,DAD0,D23F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
200,418.8,E2B2,EAEE,DBAD,D30A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
201,420,E399,EBE6,DC86,D3D2,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
202,421.2,E47C,ECDA,DD5A,D495,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
203,422.4,E55B,EDC9,DE2B,D555,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
204,423.6,E636,EEB5,DEF8,D610,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
205,424.8,E70D,EF9D,DFC1,D6C7,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
206,426,E7E0,F081,E085,D77A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
207,427.2,E8AF,F161,E146,D829,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
208,428.4,E97A,F23C,E202,D8D3,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
209,429.6,EA40,F314,E2BA,D979,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
210,430.8,EB03,F3E7,E36E,DA1B,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
211,432,EBC1,F4B6,E41D,DAB8,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
212,433.2,EC7A,F581,E4C8,DB51,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
213,434.4,ED30,F648,E56E,DBE6,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
214,435.6,EDE1,F70A,E610,DC75,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
215,436.8,EE8D,F7C8,E6AE,DD01,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
216,438,EF35,F882,E747,DD88,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
217,439.2,EFD8,F937,E7DC,DE0A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
218,440.4,F077,F9E7,E86B,DE87,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
219,441.6,F112,FA93,E8F7,DF00,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
220,442.8,F1A7,FB3A,E97D,DF74,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
221,444,F238,FBDD,E9FF,DFE3,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
222,445.2,F2C4,FC7B,EA7C,E04D,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
223,446.4,F34C,FD15,EAF4,E0B3,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
224,447.6,F3CF,FDA9,EB67,E113,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
225,448.8,F44C,FE39,EBD6,E16E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
226,450,F4C5,FEC4,EC3F,E1C5,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
